channel,region,n,n_quench,contrast,marginal,ci_lo,ci_hi
growth,low_cleaned,3119,337,gas|L3+mstar,0.07829851063354051,0.06330272835407257,0.09831013406793346
growth,low_cleaned,3119,337,bhmass|L3+mstar,0.009776236533626165,0.006499707631913051,0.015064146984630582
growth,low_cleaned,3119,337,bhmdot|L3+mstar,-6.070351692241682e-05,-0.001126288982210654,0.0008523474086223104
growth,low_cleaned,3119,337,gas|L3+mstar+bhmass,0.07262895194803143,0.05855253967476934,0.09552367103727652
growth,low_cleaned,3119,337,gas|L3+mstar+bhmdot,0.07790033091639353,0.060699409800645185,0.09382607695056124
growth,low_cleaned,3119,337,bhmass|L3+mstar+gas,0.00410667784811708,0.001000635649273602,0.007911722646240507
quench,low_cleaned,3119,337,gas|L3+mstar,0.0002685872543313206,-0.0034360152525031605,0.005928725909578838
quench,low_cleaned,3119,337,bhmass|L3+mstar,-0.00031888631551757474,-0.00445375274327342,0.004439969526056718
quench,low_cleaned,3119,337,bhmdot|L3+mstar,-0.0009372852839928392,-0.0027016177407966887,0.0035869580872610503
quench,low_cleaned,3119,337,gas|L3+mstar+bhmass,0.000644566177319561,-0.0026147363190941546,0.006594096835172064
quench,low_cleaned,3119,337,bhmass|L3+mstar+gas,5.709260747066569e-05,-0.0026144052581258486,0.002638257887321571
growth,original,3333,1380,gas|L3+mstar,0.03858040303460075,0.02844235000076397,0.04900400524402023
growth,original,3333,1380,bhmass|L3+mstar,0.035040165976505167,0.02678627715946367,0.0449182380742579
growth,original,3333,1380,bhmdot|L3+mstar,0.0018961519955397743,0.00039783510018690237,0.007192589916122165
growth,original,3333,1380,gas|L3+mstar+bhmass,0.031604186128031175,0.02441709195663771,0.041490660005544126
growth,original,3333,1380,gas|L3+mstar+bhmdot,0.04723141254512114,0.038108710061303994,0.058508158538370256
growth,original,3333,1380,bhmass|L3+mstar+gas,0.028063949069935534,0.021881250327207467,0.03661482955176067
quench,original,3333,1380,gas|L3+mstar,-0.0003142567676093222,-0.0011528442071784134,7.817037144258461e-05
quench,original,3333,1380,bhmass|L3+mstar,0.03168068516728595,0.024913745810321554,0.040279131360989484
quench,original,3333,1380,bhmdot|L3+mstar,0.013346178081527937,0.010207344686268341,0.019082309596874323
quench,original,3333,1380,gas|L3+mstar+bhmass,-0.00010696353574157769,-0.000344193482577021,0.001152469999326999
quench,original,3333,1380,bhmass|L3+mstar+gas,0.031887978399153694,0.02681942832624367,0.03956285518558348
growth,upper_transition,418,410,gas|L3+mstar,0.028271180338713592,-0.0019928677609969614,0.0498058989348803
growth,upper_transition,418,410,bhmass|L3+mstar,0.06961157425549971,0.015824530377874808,0.11510910045192477
growth,upper_transition,418,410,bhmdot|L3+mstar,0.0029758669503015533,-0.012100337173404372,0.017409019868480983
growth,upper_transition,418,410,gas|L3+mstar+bhmass,-0.004310876961672788,-0.00791284103490506,0.023971155707369622
growth,upper_transition,418,410,gas|L3+mstar+bhmdot,0.027308824223564787,-0.005170050088090581,0.043148353242988845
growth,upper_transition,418,410,bhmass|L3+mstar+gas,0.037029516955113195,0.00934124517148171,0.08495877393165929
growth,high,355,346,gas|L3+mstar,0.0044759373009748415,-0.015107425707956361,0.02960064302325907
growth,high,355,346,bhmass|L3+mstar,0.000997551427862703,-0.02023836563928938,0.035195678157272696
growth,high,355,346,bhmdot|L3+mstar,0.00031407718779809246,-0.015377815126124572,0.024023414484327897
growth,high,355,346,gas|L3+mstar+bhmass,0.0026163889066922186,-0.026076214391305086,0.017257381329171467
growth,high,355,346,gas|L3+mstar+bhmdot,0.0016971007969470292,-0.021176558539241275,0.02318903772181073
growth,high,355,346,bhmass|L3+mstar+gas,-0.0008619969664198229,-0.025696085726055293,0.023721126053627493
