file,file_type,object,shape,dtype,search_terms,agn_bh_feedback_terms
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupBHMass,"(21656,)",float32,bh;mass;group,bh
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupBHMdot,"(21656,)",float32,bh;group,bh
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupCM,"(21656, 3)",float32,group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupFirstSub,"(21656,)",int32,group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupGasMetalFractions,"(21656, 10)",float32,gas;group;metal,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupGasMetallicity,"(21656,)",float32,gas;group;metal,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupLen,"(21656,)",int32,group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupLenType,"(21656, 6)",int32,group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupMass,"(21656,)",float32,mass;group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupMassType,"(21656, 6)",float32,mass;group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupNsubs,"(21656,)",int32,group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupPos,"(21656, 3)",float32,group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupSFR,"(21656,)",float32,sfr;group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupStarMetalFractions,"(21656, 10)",float32,star;group;metal,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupStarMetallicity,"(21656,)",float32,star;group;metal,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupVel,"(21656, 3)",float32,group,
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/GroupWindMass,"(21656,)",float32,wind;mass;group,wind
outputs/cache/camels/CV_0/groups_066.hdf5,hdf5,Group/Group_M_Crit200,"(21656,)",float32,group,
