variant,region,n,contrast,baseline_r2,plus_r2,marginal_r2,marginal_ci_lo,marginal_ci_hi
primary,low_cleaned,3126,gas|L3,0.14685685662952924,0.20762747279576538,0.060770616166236135,0.04766852806750385,0.08139326293418812
primary,low_cleaned,3126,sfr|L3,0.14685685662952924,0.1462475742986104,-0.0006092823309188367,-0.0013191607551126367,0.0016679641058849465
primary,low_cleaned,3126,tdep|L3,0.14685685662952924,0.1517656849768475,0.0049088283473182615,0.0016701503502181095,0.01361226802574967
primary,low_cleaned,3126,gas|L3+mstar,0.18260704538057615,0.2592608356990969,0.07665379031852076,0.061685879235591316,0.09399533846041745
primary,low_cleaned,3126,sfr|L3+mstar,0.18260704538057615,0.189773713666866,0.00716666828628984,0.00319869107308247,0.012865113141110003
primary,low_cleaned,3126,tdep|L3+mstar,0.18260704538057615,0.18167453326434832,-0.0009325121162278294,-0.0012918255855922337,0.0027258542604447376
primary,low_cleaned,3126,gas|L3+mstar+tdep,0.18167453326434832,0.25902376829389057,0.07734923502954225,0.061830822493248505,0.09341797794485598
primary,low_cleaned,3126,tdep|L3+mstar+gas,0.2592608356990969,0.25902376829389057,-0.00023706740520634817,-0.00046456114534785333,0.002998873278140598
primary,low_cleaned,3126,model:L3,,0.14685685662952924,,,
primary,low_cleaned,3126,model:L3+gas,,0.20762747279576538,,,
primary,low_cleaned,3126,model:L3+sfr,,0.1462475742986104,,,
primary,low_cleaned,3126,model:L3+tdep,,0.1517656849768475,,,
primary,low_cleaned,3126,model:L3+gas+tdep,,0.2099138100759806,,,
primary,original,3336,gas|L3,0.1902099332201731,0.23981730528844425,0.04960737206827115,0.0396218265227057,0.06247701046260139
primary,original,3336,sfr|L3,0.1902099332201731,0.1963593210303312,0.006149387810158113,0.0019452947163552212,0.010941275336936472
primary,original,3336,tdep|L3,0.1902099332201731,0.193114014551019,0.002904081330845909,0.000503009789131876,0.006556476670750804
primary,original,3336,gas|L3+mstar,0.2893667419888432,0.3282847105158835,0.03891796852704027,0.02862808862448691,0.04727464662213697
primary,original,3336,sfr|L3+mstar,0.2893667419888432,0.30517095588183796,0.015804213892994745,0.011226130439973541,0.021558097994340716
primary,original,3336,tdep|L3+mstar,0.2893667419888432,0.3014158516873632,0.012049109698519966,0.008200492173082058,0.016817245116827903
