region,n,target,block,cv_r2,ci_lo,ci_hi
low_cleaned,3126,int_log_mgas,mstar_only,0.22828123106679019,0.20284469494795768,0.24652675214861347
low_cleaned,3126,int_log_mgas,l3_only,0.7883386781117435,0.771174269123742,0.8034902481237066
low_cleaned,3126,int_log_mgas,l3_plus_mstar,0.7925700353161301,0.777764546578214,0.8055578086909488
low_cleaned,3126,int_log_mgas,halo_static,0.7879732354258396,0.7755284555730095,0.7991993358692444
low_cleaned,3126,int_log_mgas,assembly_timing,0.31269938225023364,0.2899635469150003,0.3387069208119933
low_cleaned,3126,int_log_mgas,accretion_windows,0.31985069315310266,0.28875678779374686,0.33708760414175243
low_cleaned,3126,int_log_mgas,merger_counts,0.2011113324968436,0.17717492079080455,0.22786204956461809
low_cleaned,3126,int_log_mgas,l3_excl_peak,0.7884959322582124,0.7759578386746818,0.8017259478542338
low_cleaned,3126,int_log_mgas,l3_excl_accretion,0.7884668928161748,0.7753506896866064,0.8058533399666308
low_cleaned,3126,int_log_mgas,incr_L3_beyond_Mstar,0.5642888042493399,,
low_cleaned,3126,int_log_mgas,incr_Mstar_beyond_L3,0.00423135720438661,,
low_cleaned,3126,gas_fraction,mstar_only,0.14958956298797874,0.13330290076163043,0.17421639129783656
low_cleaned,3126,gas_fraction,l3_only,0.41901825068368526,0.39431681091837195,0.44973545246753205
low_cleaned,3126,gas_fraction,l3_plus_mstar,0.7710221072959065,0.7549301365740312,0.7855205752244477
low_cleaned,3126,gas_fraction,halo_static,0.23789824149134323,0.21140549013210708,0.26958353246988
low_cleaned,3126,gas_fraction,assembly_timing,0.35187789879053255,0.32788501501349876,0.3800227185014555
low_cleaned,3126,gas_fraction,accretion_windows,0.34095442980586277,0.31824182838741316,0.3697841964160366
low_cleaned,3126,gas_fraction,merger_counts,0.029823928721214688,0.01910527237847659,0.043227139970763315
low_cleaned,3126,gas_fraction,l3_excl_peak,0.4030716612435187,0.37556056924130554,0.4290454049391388
low_cleaned,3126,gas_fraction,l3_excl_accretion,0.39822336639757816,0.371804252214366,0.4234007559374704
low_cleaned,3126,gas_fraction,incr_L3_beyond_Mstar,0.6214325443079277,,
low_cleaned,3126,gas_fraction,incr_Mstar_beyond_L3,0.3520038566122212,,
low_cleaned,3126,int_log_sfr,mstar_only,0.2601921370767517,0.24174199430079998,0.28100692810488526
low_cleaned,3126,int_log_sfr,l3_only,0.3881454650238679,0.3633237382380012,0.4175640253010497
low_cleaned,3126,int_log_sfr,l3_plus_mstar,0.4720387907203703,0.4468647470127148,0.4975874422162193
low_cleaned,3126,int_log_sfr,halo_static,0.3866378576932218,0.3621092303085602,0.40965253890925907
low_cleaned,3126,int_log_sfr,assembly_timing,0.15485099592506438,0.1348219879443827,0.1764388619496737
low_cleaned,3126,int_log_sfr,accretion_windows,0.15987046499934088,0.140176655795725,0.1816935611260834
low_cleaned,3126,int_log_sfr,merger_counts,0.11214639792087189,0.09116832852493413,0.1279795947388557
low_cleaned,3126,int_log_sfr,l3_excl_peak,0.38871129333408205,0.3569310185755081,0.414573259215636
low_cleaned,3126,int_log_sfr,l3_excl_accretion,0.3886038851422188,0.3644762100213755,0.40936904555390374
low_cleaned,3126,int_log_sfr,incr_L3_beyond_Mstar,0.2118466536436186,,
low_cleaned,3126,int_log_sfr,incr_Mstar_beyond_L3,0.08389332569650243,,
low_cleaned,3126,int_log_ssfr,mstar_only,0.0014578322535373056,-0.004410228947706643,0.005721382919610062
low_cleaned,3126,int_log_ssfr,l3_only,0.2667228923362937,0.24370240987707778,0.2963467245555734
low_cleaned,3126,int_log_ssfr,l3_plus_mstar,0.28738021295886573,0.25837754324750745,0.3148710377732965
low_cleaned,3126,int_log_ssfr,halo_static,0.16108315731618097,0.14084535917652116,0.17677141930474777
