region,log_mstar_lo,log_mstar_hi,n,feature,loo_r2_drop,full_model_r2,rank
low_cleaned,9.0,9.55,3126,int_log_mgas,0.06969116868095362,0.26034741004113604,1
low_cleaned,9.0,9.55,3126,int_log_rstar,0.0006331784676391061,0.26034741004113604,2
low_cleaned,9.0,9.55,3126,int_log_mstar,0.00014106690128279364,0.26034741004113604,3
low_cleaned,9.0,9.55,3126,int_log_sfr,7.200328940859535e-07,0.26034741004113604,4
low_cleaned,9.0,9.55,3126,int_log_ssfr,-1.543999123498896e-06,0.26034741004113604,5
low_cleaned,9.0,9.55,3126,int_metallicity,-0.00026050508825731233,0.26034741004113604,6
original,9.55,10.55,3336,int_log_mgas,0.02050898957362901,0.32976674723793986,1
original,9.55,10.55,3336,int_metallicity,0.0002416609578932416,0.32976674723793986,2
original,9.55,10.55,3336,int_log_sfr,-0.00014421020158073006,0.32976674723793986,3
original,9.55,10.55,3336,int_log_ssfr,-0.00017012971194779736,0.32976674723793986,4
original,9.55,10.55,3336,int_log_rstar,-0.0004408608390065183,0.32976674723793986,5
original,9.55,10.55,3336,int_log_mstar,-0.000680197106903313,0.32976674723793986,6
upper_transition,10.55,10.75,418,int_log_mstar,0.005621118804658515,0.17552683031480984,1
upper_transition,10.55,10.75,418,int_log_ssfr,0.0002146702616935281,0.17552683031480984,2
upper_transition,10.55,10.75,418,int_log_sfr,-0.0007683715712748229,0.17552683031480984,3
upper_transition,10.55,10.75,418,int_log_mgas,-0.0031372691987709977,0.17552683031480984,4
upper_transition,10.55,10.75,418,int_log_rstar,-0.004290467646306112,0.17552683031480984,5
upper_transition,10.55,10.75,418,int_metallicity,-0.013675843264396609,0.17552683031480984,6
high,10.75,11.2,357,int_log_rstar,0.015887222464360543,0.09728702248992498,1
high,10.75,11.2,357,int_metallicity,0.009190380902897519,0.09728702248992498,2
high,10.75,11.2,357,int_log_mgas,0.009094358369475697,0.09728702248992498,3
high,10.75,11.2,357,int_log_sfr,-0.0005487613203527392,0.09728702248992498,4
high,10.75,11.2,357,int_log_mstar,-0.0010097499175603375,0.09728702248992498,5
high,10.75,11.2,357,int_log_ssfr,-0.001166365692427146,0.09728702248992498,6
