record_type,region,log_mstar_lo,log_mstar_hi,cleaning,n,raw_corr_gas_growth,status,model,cv_r2,contrast,baseline_r2,plus_r2,marginal_r2,marginal_ci_lo,marginal_ci_hi
region_summary,low_cleaned,9.0,9.55,gas_sfr_floor,3126,0.4012290308739265,survives,,,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3,0.14685685662952924,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+gas_mass,0.20762747279576538,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+gas_fraction,0.24992366723078926,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+sfr,0.1462475742986104,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+ssfr,0.16068385279535788,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+gas_mass+sfr,0.20989972065536158,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+gas_fraction+ssfr,0.24952041927890373,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+all_internal,0.26034741004113604,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+internal_excl_gas,0.19065624136018242,,,,,,
model_r2,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,L3+internal_excl_sfrssfr,0.26062340919755644,,,,,,
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,gas_mass|L3,0.14685685662952924,0.20762747279576538,0.060770616166236135,0.04432875910170416,0.07716622842634027
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,gas_fraction|L3,0.14685685662952924,0.24992366723078926,0.10306681060126002,0.08663894934541032,0.12029772431512464
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,sfr|L3,0.14685685662952924,0.1462475742986104,-0.0006092823309188367,-0.0018920498771589794,0.0016404194632522026
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,ssfr|L3,0.14685685662952924,0.16068385279535788,0.013826996165828637,0.007152655823190278,0.021578811337037387
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,gas_mass|L3+sfr,0.1462475742986104,0.20989972065536158,0.06365214635675118,0.04822090395858646,0.07788515992196923
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,gas_fraction|L3+ssfr,0.16068385279535788,0.24952041927890364,0.08883656648354576,0.06669550371506933,0.10273998562731419
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,gas_mass|L3+mstar+sfr+ssfr,0.1899111167424004,0.25901431951556775,0.06910320277316734,0.05308052672163531,0.0861185651746672
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,gas_fraction|L3+ssfr+mstar,0.18992384567681894,0.25901211784406175,0.06908827216724281,0.05455456844257053,0.08539953875016282
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,sfr|L3+gas_mass,0.20762747279576538,0.20989972065536158,0.002272247859596205,-0.00043654193661206984,0.007582785003581854
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,ssfr|L3+gas_fraction,0.24992366723078926,0.24952041927890373,-0.0004032479518855381,-0.001502299039122601,0.0030122909696315148
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,gas_mass|L3+internal_excl_gas,0.19065624136018242,0.26034741004113604,0.06969116868095362,0.05724074866128887,0.08696849948469387
marginal,low_cleaned,9.0,9.55,gas_sfr_floor,3126,,,,,sfr_ssfr|L3+internal_excl_sfrssfr,0.26062340919755644,0.26034741004113604,-0.0002759991564204034,-0.0016522488903679272,0.0012044964506889317
region_summary,original,9.55,10.55,none,3336,0.12639860674902084,survives,,,,,,,,
model_r2,original,9.55,10.55,none,3336,,,L3,0.1902099332201731,,,,,,
model_r2,original,9.55,10.55,none,3336,,,L3+gas_mass,0.23981730528844425,,,,,,
