sample_definition,window_center,log_mstar_lo,log_mstar_hi,n,score_available,l3_r2,l3_plus_gas_mass_r2,gas_mass_marginal_r2,gas_mass_marginal_ci_lo,gas_mass_marginal_ci_hi
full_sample,9.25,9.0,9.5,2895,True,0.14853824349200834,0.15194710771284267,0.0034088642208343345,-0.09351713485393176,0.011326427339878346
full_sample,9.35,9.1,9.6,2694,True,0.14731609498979462,0.14430877658753533,-0.0030073184022592903,-0.5898063836226041,0.025617251396925403
full_sample,9.45,9.2,9.7,2551,True,0.13427141990121866,-0.3195715288300787,-0.4538429487312974,-0.44797119952550624,0.06842811856499324
full_sample,9.549999999999999,9.299999999999999,9.799999999999999,2390,True,0.17764954853616657,0.245202256181146,0.06755270764497942,0.052112228251654735,0.08825017030401118
full_sample,9.649999999999999,9.399999999999999,9.899999999999999,2211,True,0.2008944323304087,0.27015530511490027,0.06926087278449156,0.052875504557957295,0.08933756142462922
full_sample,9.749999999999998,9.499999999999998,9.999999999999998,2021,True,0.18553987746938577,0.26081196528711875,0.07527208781773298,0.049327496483852554,0.09255102647742972
full_sample,9.849999999999998,9.599999999999998,10.099999999999998,1906,True,0.16293829785361605,0.2461213138373172,0.08318301598370115,0.06332201887354014,0.09979217682346024
full_sample,9.949999999999998,9.699999999999998,10.199999999999998,1744,True,0.15110715193687055,0.2314011398189484,0.08029398788207784,0.05871026990692185,0.10651103645085287
full_sample,10.049999999999997,9.799999999999997,10.299999999999997,1562,True,0.1251497078629476,0.1942201368722068,0.0690704290092592,0.04761047252264858,0.09206966603260275
full_sample,10.149999999999997,9.899999999999997,10.399999999999997,1456,True,0.13069294856811758,0.1821816301707106,0.05148868160259301,0.036013441596049245,0.07557833843997573
full_sample,10.249999999999996,9.999999999999996,10.499999999999996,1404,True,0.1602312680607953,0.20249535822144452,0.04226409016064922,0.03247559033444579,0.0691168303212437
full_sample,10.349999999999996,10.099999999999996,10.599999999999996,1334,True,0.1467845680696782,0.1872393934880655,0.0404548254183873,0.022019760465728486,0.05540666518573705
full_sample,10.449999999999996,10.199999999999996,10.699999999999996,1226,True,0.13381833816634098,0.16855554043436144,0.03473720226802046,0.017975920431068236,0.054646409647513
full_sample,10.549999999999995,10.299999999999995,10.799999999999995,1157,True,0.13289039333589955,0.16589572505947464,0.03300533172357509,0.015390086468143193,0.049058810614266396
full_sample,10.649999999999995,10.399999999999995,10.899999999999995,1025,True,0.098582812797088,0.12098624312616701,0.022403430329079016,0.009281900819511335,0.03803382115559987
full_sample,10.749999999999995,10.499999999999995,10.999999999999995,835,True,0.10831955054258387,0.11702369970968836,0.008704149167104491,0.0008177950492952099,0.03119306871315525
full_sample,10.849999999999994,10.599999999999994,11.099999999999994,605,True,0.11793430840963282,0.13007427280144984,0.012139964391817026,-0.0012119223714553507,0.02549709860504193
full_sample,10.949999999999994,10.699999999999994,11.199999999999994,454,True,0.09018367676228849,0.09812055986066,0.007936883098371511,-0.01012244924161483,0.029304821415427687
full_sample,11.049999999999994,10.799999999999994,11.299999999999994,309,True,0.09632042533515146,0.10008803221353255,0.003767606878381083,-0.021200186275920435,0.02979191823605717
full_sample,11.149999999999993,10.899999999999993,11.399999999999993,225,True,0.12615300295232787,0.1394324650242384,0.013279462071910525,-0.01523154168488501,0.06079721567853042
gas_sfr_clean_ngas_ge_100,9.25,9.0,9.5,2889,True,0.14067993195935788,0.2010181411703023,0.06033820921094443,0.044817376893460895,0.0814688822398426
gas_sfr_clean_ngas_ge_100,9.35,9.1,9.6,2690,True,0.1365749778167326,0.19469213238543565,0.05811715456870303,0.041567530940981985,0.07709579637986995
gas_sfr_clean_ngas_ge_100,9.45,9.2,9.7,2550,True,0.13448405232220678,0.18950639748321657,0.05502234516100979,0.04049464139249263,0.07669100111504346
gas_sfr_clean_ngas_ge_100,9.549999999999999,9.299999999999999,9.799999999999999,2390,True,0.17764954853616657,0.245202256181146,0.06755270764497942,0.05339628486934368,0.08623460925811355
gas_sfr_clean_ngas_ge_100,9.649999999999999,9.399999999999999,9.899999999999999,2211,True,0.2008944323304087,0.27015530511490027,0.06926087278449156,0.04731746722106671,0.08860444208974504
gas_sfr_clean_ngas_ge_100,9.749999999999998,9.499999999999998,9.999999999999998,2021,True,0.18553987746938577,0.26081196528711875,0.07527208781773298,0.05074994863589683,0.10216104170140454
gas_sfr_clean_ngas_ge_100,9.849999999999998,9.599999999999998,10.099999999999998,1906,True,0.16293829785361605,0.2461213138373172,0.08318301598370115,0.055846635923959,0.10227846426118976
gas_sfr_clean_ngas_ge_100,9.949999999999998,9.699999999999998,10.199999999999998,1744,True,0.15110715193687055,0.2314011398189484,0.08029398788207784,0.057949855980877006,0.10054501215002604
gas_sfr_clean_ngas_ge_100,10.049999999999997,9.799999999999997,10.299999999999997,1561,True,0.1228756555081606,0.19283180056687424,0.06995614505871364,0.04630899570250038,0.08774539294003268
gas_sfr_clean_ngas_ge_100,10.149999999999997,9.899999999999997,10.399999999999997,1446,True,0.11336391172872207,0.1770149389994282,0.06365102727070612,0.03670440818405241,0.08960769068377927
gas_sfr_clean_ngas_ge_100,10.249999999999996,9.999999999999996,10.499999999999996,1355,True,0.1262822183614852,0.17126234719632305,0.044980128834837846,0.026931659361112054,0.06327098610514835
gas_sfr_clean_ngas_ge_100,10.349999999999996,10.099999999999996,10.599999999999996,1221,True,0.1205133198573088,0.1541599997745755,0.033646679917266706,0.017297569464971584,0.05379412303675901
gas_sfr_clean_ngas_ge_100,10.449999999999996,10.199999999999996,10.699999999999996,1051,True,0.12063103081880736,0.13758144910879858,0.01695041828999122,0.005665532196399381,0.034458496075916965
gas_sfr_clean_ngas_ge_100,10.549999999999995,10.299999999999995,10.799999999999995,919,True,0.11507404654289088,0.1322491626121052,0.01717511606921432,0.005127316454181248,0.03772380426429074
gas_sfr_clean_ngas_ge_100,10.649999999999995,10.399999999999995,10.899999999999995,765,True,0.09609148440128479,0.10845353589887721,0.012362051497592424,0.0010060644591742705,0.028198495345179393
gas_sfr_clean_ngas_ge_100,10.749999999999995,10.499999999999995,10.999999999999995,596,True,0.08813659734632855,0.09134693545598094,0.0032103381096523914,-0.006480526654733472,0.018293881229896006
gas_sfr_clean_ngas_ge_100,10.849999999999994,10.599999999999994,11.099999999999994,412,True,0.08755280474741015,0.09650401729380857,0.008951212546398427,-0.005865054890282621,0.026368552151575003
gas_sfr_clean_ngas_ge_100,10.949999999999994,10.699999999999994,11.199999999999994,310,True,0.08068345803996635,0.08087707664016038,0.000193618600194026,-0.015209947214199208,0.014047141609343585
gas_sfr_clean_ngas_ge_100,11.049999999999994,10.799999999999994,11.299999999999994,220,True,0.02885316669485629,0.02956696339882785,0.0007137967039715608,-0.031676576354728335,0.023571506694108034
gas_sfr_clean_ngas_ge_100,11.149999999999993,10.899999999999993,11.399999999999993,161,False,,,,,
strict_gas_clean_ngas_ge_300,9.25,9.0,9.5,2882,True,0.13577976527333518,0.19703253574772303,0.061252770474387846,0.0425760757568011,0.07871862918669598
strict_gas_clean_ngas_ge_300,9.35,9.1,9.6,2687,True,0.13890516185552565,0.19337338114438,0.05446821928885434,0.040781374045823125,0.07431478366493102
strict_gas_clean_ngas_ge_300,9.45,9.2,9.7,2549,True,0.1311616069883895,0.18874087172674206,0.057579264738352565,0.03603270115906665,0.07274010313844438
strict_gas_clean_ngas_ge_300,9.549999999999999,9.299999999999999,9.799999999999999,2390,True,0.17764954853616657,0.245202256181146,0.06755270764497942,0.050841541347752435,0.08597357941926002
strict_gas_clean_ngas_ge_300,9.649999999999999,9.399999999999999,9.899999999999999,2211,True,0.2008944323304087,0.27015530511490027,0.06926087278449156,0.04630335622209443,0.08508650356736491
strict_gas_clean_ngas_ge_300,9.749999999999998,9.499999999999998,9.999999999999998,2021,True,0.18553987746938577,0.26081196528711875,0.07527208781773298,0.05104947412961015,0.09641110249461554
strict_gas_clean_ngas_ge_300,9.849999999999998,9.599999999999998,10.099999999999998,1906,True,0.16293829785361605,0.2461213138373172,0.08318301598370115,0.06099087895755115,0.11112883362833809
strict_gas_clean_ngas_ge_300,9.949999999999998,9.699999999999998,10.199999999999998,1744,True,0.15110715193687055,0.2314011398189484,0.08029398788207784,0.06358311256336963,0.10153596723558832
strict_gas_clean_ngas_ge_300,10.049999999999997,9.799999999999997,10.299999999999997,1561,True,0.1228756555081606,0.19283180056687424,0.06995614505871364,0.04532084244813899,0.0970294082717058
strict_gas_clean_ngas_ge_300,10.149999999999997,9.899999999999997,10.399999999999997,1446,True,0.11336391172872207,0.1770149389994282,0.06365102727070612,0.03672959672940855,0.07881655667603475
strict_gas_clean_ngas_ge_300,10.249999999999996,9.999999999999996,10.499999999999996,1355,True,0.1262822183614852,0.17126234719632305,0.044980128834837846,0.028692058597100938,0.06743511256542052
strict_gas_clean_ngas_ge_300,10.349999999999996,10.099999999999996,10.599999999999996,1221,True,0.1205133198573088,0.1541599997745755,0.033646679917266706,0.013883719517547294,0.05129338585885764
strict_gas_clean_ngas_ge_300,10.449999999999996,10.199999999999996,10.699999999999996,1051,True,0.12063103081880736,0.13758144910879858,0.01695041828999122,0.0006150554159936508,0.03389699464638485
strict_gas_clean_ngas_ge_300,10.549999999999995,10.299999999999995,10.799999999999995,919,True,0.11507404654289088,0.1322491626121052,0.01717511606921432,0.003644024192023613,0.03537756134307616
strict_gas_clean_ngas_ge_300,10.649999999999995,10.399999999999995,10.899999999999995,765,True,0.09609148440128479,0.10845353589887721,0.012362051497592424,-0.0014482970686672137,0.02552539756546586
strict_gas_clean_ngas_ge_300,10.749999999999995,10.499999999999995,10.999999999999995,596,True,0.08813659734632855,0.09134693545598094,0.0032103381096523914,-0.006826274726819032,0.021001746595769515
strict_gas_clean_ngas_ge_300,10.849999999999994,10.599999999999994,11.099999999999994,412,True,0.08755280474741015,0.09650401729380857,0.008951212546398427,-0.0059581481627376505,0.01942937300131788
strict_gas_clean_ngas_ge_300,10.949999999999994,10.699999999999994,11.199999999999994,310,True,0.08068345803996635,0.08087707664016038,0.000193618600194026,-0.01174624203224973,0.02142664375312655
strict_gas_clean_ngas_ge_300,11.049999999999994,10.799999999999994,11.299999999999994,220,True,0.02885316669485629,0.02956696339882785,0.0007137967039715608,-0.01923393261773378,0.03459304317845485
strict_gas_clean_ngas_ge_300,11.149999999999993,10.899999999999993,11.399999999999993,161,False,,,,,
