sim,channel,window_kind,window,n,baseline,plus,marginal,ci_lo,ci_hi,n_quench
TNG,growth,peak,10.00-10.50,1407,0.04646478318506682,0.2918269805271606,0.2453621973420938,0.2046850799520988,0.2929655601939605,
TNG,growth,intermediate,9.55-10.55,3341,0.011018625276921611,0.32397279962536746,0.31295417434844586,0.2830260069956495,0.3437578934284308,
TNG,growth,whole,9.0-12.0,7360,0.05981610283988945,0.30619587966373973,0.2463797768238503,0.2185534466391658,0.2659358752370366,
TNG,quench,peak,9.60-10.10,1908,0.6212537591635768,0.6811828316570463,0.05992907249346946,0.032140834654016785,0.08146050192775721,444.0
TNG,quench,intermediate,9.55-10.55,3341,0.8039636673882095,0.8330155597636593,0.029051892375449806,0.024008592712297713,0.03802130002031918,1387.0
TNG,quench,whole,9.0-12.0,7360,0.8465149098172893,0.8727830378462093,0.02626812802891998,0.02168867810187003,0.03237417780772011,2595.0
SIMBA,growth,peak,9.30-9.80,1236,0.004812235434043899,0.08495589782427615,0.08014366239023225,-0.14365131723230817,0.17534683050170338,
SIMBA,growth,intermediate,9.55-10.55,1972,0.04025242106967823,0.1611162145815773,0.12086379351189906,0.10018487310918256,0.16134705687991152,
SIMBA,growth,whole,9.0-12.0,4199,0.2759294319325271,0.362464580078838,0.08653514814631086,0.07209034887401586,0.10516249574308419,
SIMBA,quench,peak,9.90-10.40,855,0.518923465168922,0.6602406603866884,0.14131719521776642,0.09635011015826073,0.18767013656363146,317.0
SIMBA,quench,intermediate,9.55-10.55,1972,0.6162267015366198,0.6848386396628989,0.06861193812627908,0.05191747139692283,0.09647759116949593,599.0
SIMBA,quench,whole,9.0-12.0,4199,0.7144303855545994,0.74576311722914,0.03133273167454065,0.023339540910454336,0.04461581465385791,1175.0
