first_group,second_group,removed_features,n,n_geometry_features,baseline_r2,l3_plus_internal_r2,internal_marginal_r2,dominant_internal_feature,gas_feature_rank,gas_leave_one_out_r2_drop,recovery_r2,recovery_fraction_of_absorbed,recovery_fraction_of_published_decomposition,sum_individual_recovery_r2,pair_synergy_r2,pair_synergy_fraction_of_absorbed
earlier_accretion_3_4gyr,halfmass_epoch,halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_halfmass_snap,3429,10,0.10598582062939439,0.31768565556238315,0.21169983493298877,int_log_mgas,1,0.023581464176517297,0.07623866961138068,0.44106340334870037,0.5628083106355757,0.03566027480743636,0.04057839480394432,0.23475809593591326
recent_accretion_1_2gyr,halfmass_epoch,halo_delta_logmass_sl4;halo_delta_logmass_sl8;halo_halfmass_snap,3425,10,0.12246674378996932,0.31695384932171455,0.19448710553174525,int_log_mgas,1,0.023890109602132614,0.05902594021013716,0.34148263876647833,0.43574067940431066,0.03150281891165721,0.027523121298479947,0.15922945157052593
static_halo_structure,merger_counts,geom_log_mhalo;geom_log_msub;halo_n_mergers;halo_n_major_mergers,3425,9,0.1355149220672902,0.3180418900314081,0.18252696796411788,int_log_mgas,1,0.059124455886585214,0.047065802642509785,0.2722896818722133,0.3474486767537211,0.007505732682636518,0.03956006995987327,0.22886678351231
static_halo_structure,halfmass_epoch,geom_log_mhalo;geom_log_msub;halo_halfmass_snap,3425,10,0.15873268433547572,0.32145366861138064,0.16272098427590492,int_log_mgas,1,0.07174314471904925,0.027259818954296827,0.15770616911259383,0.20123715080685545,0.031377227013092424,-0.004117408058795596,-0.02382043155586045
peak_mass_state,halfmass_epoch,halo_log_peak_mass_ratio;halo_halfmass_snap,3425,11,0.16032609635402986,0.3211295757297566,0.16080347937572673,int_log_mgas,1,0.02567823991782936,0.02534231405411863,0.1466128323384674,0.18708176615749333,0.027550471768567453,-0.002208157714448822,-0.012774849844967634
halfmass_epoch,major_merger_timing,halo_halfmass_snap;halo_last_major_snap,3425,11,0.16013136874739664,0.32045767702510336,0.16032630827770672,int_log_mgas,1,0.025517862812264203,0.024865142956098624,0.14385225546133726,0.18355919866084497,0.02364620399291259,0.0012189389631860337,0.0070519248344400876
environment,halfmass_epoch,geom_log_rho;halo_halfmass_snap,3425,11,0.1600570372087911,0.317366994195746,0.15730995698695488,int_log_mgas,1,0.026460381586830173,0.021848791665346784,0.12640176514224002,0.16129192166237458,0.021749755151152655,9.903651419412851e-05,0.0005729557221934205
formation_epoch,halfmass_epoch,halo_formation_snap;halo_halfmass_snap,3425,11,0.1631840166909587,0.32046389702353734,0.15727988033257864,int_log_mgas,1,0.02557966466864897,0.021818715010970546,0.12622776274151415,0.16106989009853243,0.021905259272931493,-8.654426196094689e-05,-0.000500684323524693
halfmass_epoch,merger_counts,halo_halfmass_snap;halo_n_mergers;halo_n_major_mergers,3425,10,0.16002014170705575,0.31729171708332593,0.15727157537627018,int_log_mgas,1,0.02561884384165969,0.021810410054662083,0.12617971609651438,0.16100858133680174,0.02019347113304623,0.0016169389216158514,0.009354473096267208
earlier_accretion_3_4gyr,peak_mass_state,halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_log_peak_mass_ratio,3428,10,0.16483778123758208,0.3197090066008214,0.15487122536323933,int_log_mgas,1,0.023880745019428773,0.019410060041631233,0.11229297658004408,0.1432887425377481,0.019145781112501675,0.00026427892912955775,0.0015289322926200755
