record_type,feature,other_feature,component,value,correlation_with_log_mgas,correlation_with_log_gas_fraction,mutual_information_log_mgas,mutual_information_log_gas_fraction,cumulative_explained_variance
feature_summary,geom_log_mhalo,,,,0.9041190907646236,0.02397525131695407,1.117416675710741,0.07483131466776793,
feature_summary,geom_log_rho,,,,0.018217139761723854,-0.013951156337938843,0.001397605218568465,0.0,
feature_summary,geom_log_msub,,,,0.9081546778877679,0.016642486242380558,1.2185433436685624,0.08075871284031688,
feature_summary,halo_delta_logmass_sl4,,,,0.32409869723048307,0.3415420624068842,0.09335805715160816,0.11376220028919182,
feature_summary,halo_delta_logmass_sl8,,,,0.41316159608643394,0.38366328253268744,0.13471725498619236,0.13826089103836026,
feature_summary,halo_formation_snap,,,,0.017312576245930415,0.03852471507977445,0.0006013114253764495,0.003412455418801752,
feature_summary,halo_delta_logmass_sl12,,,,0.4426869165634791,0.44606553722517955,0.20613477715772532,0.1874294715694491,
feature_summary,halo_delta_logmass_sl16,,,,0.5011237771566424,0.4988061512891055,0.21106889565633313,0.2167926999650991,
feature_summary,halo_log_peak_mass_ratio,,,,-0.13043323169327786,-0.09687599480128826,0.006605888352664291,0.005764279117183024,
feature_summary,halo_halfmass_snap,,,,0.5584890955605527,0.5461051321583101,0.1825281762430251,0.19562000127989432,
feature_summary,halo_n_mergers,,,,0.6411339442903147,-0.15037690328628392,0.33457573135198926,0.007963461621526058,
feature_summary,halo_n_major_mergers,,,,0.0803936769047354,0.16595436578780703,0.0,0.017761985135843705,
feature_summary,halo_last_major_snap,,,,0.0855468118057636,0.1320802503214852,0.0,0.026489876404084622,
pca_component,,,1.0,0.32585002605409386,,,,,0.32585002605409386
pca_component,,,2.0,0.1415766107689392,,,,,0.4674266368230331
pca_component,,,3.0,0.09453843641399981,,,,,0.5619650732370329
pca_component,,,4.0,0.08061302570171638,,,,,0.6425780989387493
pca_component,,,5.0,0.07768508566229204,,,,,0.7202631846010413
pca_component,,,6.0,0.07494251999748562,,,,,0.7952057045985269
pca_component,,,7.0,0.05431661178364952,,,,,0.8495223163821765
