feature,category,n,n_geometry_features,baseline_r2,l3_plus_internal_r2,internal_marginal_r2,dominant_internal_feature,gas_feature_rank,gas_leave_one_out_r2_drop,recovery_r2,recovery_fraction_of_absorbed,recovery_fraction_of_published_decomposition,recovery_ci_lo,recovery_ci_hi
halo_halfmass_snap,halfmass_epoch,3425,12,0.16293882180251626,0.3204324698558754,0.15749364805335916,int_log_mgas,1,0.025525521567138332,0.02203248273175107,0.12746447265439906,0.16264796393447647,0.011503039096022124,0.03520876366937829
halo_delta_logmass_sl16,earlier_accretion_3_4gyr,3427,12,0.17039294347919876,0.3149205523129908,0.14452760883379207,int_log_mgas,1,0.02625268979341322,0.00906644351218397,0.05245207520194799,0.0669302046136889,0.0005183852171839505,0.014698604850073725
halo_delta_logmass_sl4,recent_accretion_1_2gyr,3425,12,0.17340431783197757,0.3177549909101101,0.14435067307813254,int_log_mgas,1,0.024074634917803817,0.008889507756524445,0.0514284491738042,0.06562403132602046,0.003557448946407396,0.01284697790240368
halo_log_peak_mass_ratio,peak_mass_state,3425,12,0.1801550508286647,0.3211342051870892,0.14097915435842448,int_log_mgas,1,0.025622884750411856,0.005517989036816384,0.031923209529035955,0.040734841042565445,-0.0012569127475561893,0.01081232183476649
geom_log_msub,static_halo_structure,3425,12,0.18245581126986035,0.3204219924991616,0.13796618122930124,int_log_mgas,1,0.02901370819475002,0.002505015907693142,0.014492262880789298,0.018492502273591133,-0.00040398883167828205,0.006851495081888416
halo_last_major_snap,major_merger_timing,3425,12,0.18340452348647002,0.32047941006923963,0.13707488658276962,int_log_mgas,1,0.02536247141902226,0.0016137212611615215,0.00933585797249811,0.011912796241862159,-0.0004371117138606606,0.005045091741591347
halo_n_major_mergers,merger_counts,3425,12,0.18470383533139484,0.32138243458097915,0.1366785992495843,int_log_mgas,1,0.025500685348584295,0.0012174339279762136,0.0070432177576352775,0.008987328029297668,-0.0005753152622721087,0.002792313347678257
halo_delta_logmass_sl12,earlier_accretion_3_4gyr,3425,12,0.1849061341609332,0.320976109852149,0.13606997569121582,int_log_mgas,1,0.025370340430662552,0.0006088103696077207,0.0035221492581381172,0.004494353552638501,-0.0015527631607380645,0.002087690020811215
geom_log_mhalo,static_halo_structure,3425,12,0.1848157173362947,0.3206346655367355,0.13581894820044077,int_log_mgas,1,0.02617864946986792,0.00035778287883267423,0.0020698804819421763,0.002641221031749108,-0.0010649534756551142,0.0016267038246708758
halo_delta_logmass_sl8,recent_accretion_1_2gyr,3425,12,0.1849191280896379,0.3205456719009719,0.135626543811334,int_log_mgas,1,0.025332676512325958,0.00016537848972589253,0.0009567638036050097,0.0012208553597871062,-0.0011749327147990304,0.0004436595691793877
halo_formation_snap,formation_epoch,3425,12,0.1851011339275574,0.3204350757903459,0.13533394186278852,int_log_mgas,1,0.025438909963498846,-0.0001272234588195753,-0.0007360255893602142,-0.0009391876890880493,-0.0005183466961137119,0.0007397644794032596
geom_log_rho,environment,3425,12,0.182167321749499,0.3173457594905087,0.13517843774100968,int_log_mgas,1,0.02628585925914989,-0.0002827275805984131,-0.001635663234352467,-0.002087148592935615,-0.0018593345291035678,0.0018603791017573728
halo_n_mergers,merger_counts,3425,12,0.1842525021606596,0.3164024590218193,0.13214995686115968,int_log_mgas,1,0.02539007582618452,-0.0033112084604484116,-0.019156326837901368,-0.024443968517375687,-0.005329272384192318,-0.000944419716769281
