sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,n,all_internal_marginal_r2,gas_mass_marginal_r2,dominant_internal_feature,dominant_candidate_feature,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,sfr_rank
full_sample,9.0,10.1,9.55,1.0999999999999996,5267,0.006742143513532528,0.004623292722874955,int_metallicity,int_log_mstar,4,-0.0688334382279786,3,5
full_sample,9.0,10.2,9.6,1.1999999999999993,5563,0.010348107751832508,0.002895549388757912,int_metallicity,int_log_mstar,4,-0.06466441182241242,3,6
full_sample,9.0,10.3,9.65,1.3000000000000007,5809,0.005023048938922414,0.0020153378857692417,int_metallicity,int_log_mstar,6,-0.07320271004839415,3,4
full_sample,9.0,10.4,9.7,1.4000000000000004,6054,0.08414881924207449,0.0012719156792484476,int_log_mstar,int_log_mstar,4,-2.7388286300250586e-05,3,5
full_sample,9.0,10.5,9.75,1.5,6320,0.09163277178108906,0.00638299159562411,int_log_mstar,int_log_mstar,2,0.0051319814867182845,3,5
full_sample,9.1,10.3,9.7,1.200000000000001,5142,0.06532794741315834,0.0044610624535176,int_log_mgas,int_log_mstar,1,-0.01989982173293048,3,6
full_sample,9.1,10.4,9.75,1.3000000000000007,5387,0.08297884603596042,-0.0024742537094619987,int_metallicity,int_log_mstar,6,-0.006419114037114815,3,4
full_sample,9.1,10.5,9.8,1.4000000000000004,5653,0.08996106274315258,0.001919294564223295,int_log_mstar,int_log_mstar,6,-0.0032940467048115374,3,5
full_sample,9.1,10.55,9.825,1.450000000000001,5801,0.09311792332055663,0.004700209892058188,int_log_mstar,int_log_mstar,4,0.0005761416471549707,3,6
full_sample,9.1,10.6,9.85,1.5,5934,0.10007762909872567,0.006344995093238021,int_log_mgas,int_log_mstar,1,0.003173222612041171,3,6
full_sample,9.2,10.55,9.875,1.3500000000000014,5200,0.008929766826847901,-0.059774689282179494,int_metallicity,int_log_mstar,6,-0.08473060503520458,3,5
full_sample,9.2,10.6,9.899999999999999,1.4000000000000004,5333,0.03249461698561662,-0.031709021578774726,int_log_mstar,int_log_mstar,6,-0.06621129152657651,3,5
full_sample,9.2,10.7,9.95,1.5,5521,0.04589578872321512,-0.024764904211167282,int_log_mstar,int_log_mstar,6,-0.05508895274627107,3,5
full_sample,9.3,9.8,9.55,0.5,2390,0.10981150048187238,0.06755270764497925,int_log_mgas,int_log_gas_fraction,1,0.06548805314844702,1,4
full_sample,9.3,9.9,9.600000000000001,0.5999999999999996,2741,0.12412063789828595,0.07461108558993412,int_log_mgas,int_log_gas_fraction,1,0.0689470150593984,1,4
