record_type,sample_definition,catalog_index,n,log_mstar,log_mgas,log_gas_fraction,log_sfr,gas_particles,star_particles,target_future_growth,l3_target_residual,l3_gas_residual,ols_leverage_l3_plus_gas,target_variance,gas_feature_variance,residual_gas_growth_pearson,maximum_ols_leverage_l3_plus_gas
floor_tail_object,removed_by_ngas100_or_sfr_floor,2240.0,1,9.056825637817383,0.0,-9.056825637817383,-5.0,0.0,73.0,-0.04595375061035156,-0.1451097831063286,-6.214029354919576,0.2135953136795611,,,,
floor_tail_object,removed_by_ngas100_or_sfr_floor,2802.0,1,9.109294891357422,0.0,-9.109294891357422,-5.0,0.0,86.0,-0.12662506103515625,-0.3466637516005025,-6.383743504345839,0.22275600165872975,,,,
floor_tail_object,removed_by_ngas100_or_sfr_floor,3459.0,1,9.069286346435547,0.0,-9.069286346435547,-5.0,0.0,76.0,-0.08748245239257812,0.28082234425527974,-3.1849173699320583,0.21554474362190934,,,,
floor_tail_object,removed_by_ngas100_or_sfr_floor,4811.0,1,9.246905326843262,0.0,-9.246905326843262,-5.0,0.0,120.0,-0.12224102020263672,0.032667824294652203,-5.719188305971194,0.20037413814188004,,,,
floor_tail_object,removed_by_ngas100_or_sfr_floor,5384.0,1,9.196571350097656,9.1907958984375,-0.00577545166015625,-5.0,68.0,105.0,-0.0445098876953125,-0.11361455932091216,0.7754632859122168,0.015206241232642106,,,,
floor_tail_object,removed_by_ngas100_or_sfr_floor,7063.0,1,9.181487083435059,0.0,-9.181487083435059,-5.0,0.0,100.0,-0.2472400665283203,0.1514513327927996,-2.584526734263796,0.25301064289017017,,,,
sample_summary,full_below_lower,,3132,9.245854377746582,10.449600219726562,1.1876659393310547,-0.275273859500885,1397.5,111.0,,,,,0.06606794703461266,0.20941810309886932,0.08247947471811169,0.25301064289017017
sample_summary,remove_ngas_lt_100,,3126,9.245992660522461,10.450095176696777,1.1879873275756836,-0.27480053901672363,1400.0,111.0,,,,,0.06567970206350636,0.034855134785175323,0.10668487115672143,0.10225987759660222
sample_summary,remove_sfr_floor,,3126,9.245992660522461,10.450095176696777,1.1879873275756836,-0.27480053901672363,1400.0,111.0,,,,,0.06567970206350636,0.034855134785175323,0.10668487115672143,0.10225987759660222
sample_summary,remove_ngas_lt_100_or_sfr_floor,,3126,9.245992660522461,10.450095176696777,1.1879873275756836,-0.27480053901672363,1400.0,111.0,,,,,0.06567970206350636,0.034855134785175323,0.10668487115672143,0.10225987759660222
