sample_definition,region,log_mstar_lo,log_mstar_hi,n_selected_raw,n,score_available,target_variance,log_mgas_variance,log_gas_fraction_variance,l3_r2,l3_plus_gas_mass_r2,gas_mass_marginal_r2,l3_plus_gas_fraction_r2,gas_fraction_marginal_r2,l3_plus_all_internal_r2,all_internal_marginal_r2,l3_plus_internal_excluding_gas_r2,internal_excluding_gas_marginal_r2,l3_plus_sfr_r2,sfr_marginal_r2,l3_plus_gas_mass_and_sfr_r2,gas_mass_and_sfr_marginal_r2,dominant_internal_feature,dominant_candidate_feature,carrier_ranking_method,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,gas_fraction_rank_method,sfr_rank,single_marginal__int_log_mstar,single_marginal__int_log_mgas,single_marginal__int_log_sfr,single_marginal__int_log_ssfr,single_marginal__int_log_rstar,single_marginal__int_metallicity,single_marginal__int_log_gas_fraction,fraction_sfr_floor,fraction_gas_particles_lt_100,median_gas_particles,p16_gas_particles,p84_gas_particles,median_star_particles,p16_star_particles,p84_star_particles
full_sample,low,9.0,9.3,1862,1857,True,0.0749579885025554,0.3208464512940489,0.31959162817410475,0.1646454380182585,0.1690858416198439,0.004440403601585402,0.17166203842199657,0.007016600403738055,0.023445823695048485,-0.14119961432321002,0.17318046878730792,0.008535030769049406,0.16715737509171086,0.002511937073452347,0.16941970129466205,0.00477426327640354,int_log_rstar,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,3.0,-0.14973464509225942,1.0,single_feature_candidate_marginal,5.0,0.005793749844378249,0.004440403601585402,0.002511937073452347,0.00502575468965441,-0.0011702829633391254,0.0005544574030547367,0.007016600403738055,0.0032310177705977385,0.0032310177705977385,1200.0,806.96,1807.04,86.0,68.0,111.0
full_sample,pre_edge,9.3,9.55,1278,1275,True,0.05226088995718772,0.026977434647397325,0.02593162967911614,0.18994048112303177,0.26897092761472646,0.07903044649169469,0.28355543955606943,0.09361495843303766,0.293340004483572,0.10339952336054023,0.2218298630381273,0.03188938191509552,0.19902818289571458,0.00908770177268281,0.26901511911853665,0.07907463799550488,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.07151014144544471,1.0,single_feature_candidate_marginal,4.0,0.016208931350881833,0.07903044649169469,0.00908770177268281,0.01881602122948514,0.00017371348378669715,0.006803379363442552,0.09361495843303766,0.0,0.0,1745.0,1176.0,2519.3199999999997,169.0,137.84,207.0
full_sample,onset,9.55,9.85,1290,1289,True,0.052322452028234365,0.030246567748855754,0.030076796192971912,0.2081794837304099,0.26919618631277475,0.06101670258236486,0.2926189385478851,0.08443945481747522,0.29831690853929993,0.09013742480889003,0.2360942875611106,0.02791480383070069,0.20690037888367724,-0.0012791048467326593,0.2686182562971073,0.060438772566697385,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.06222262097818934,1.0,single_feature_candidate_marginal,4.0,0.029685280475894804,0.06101670258236486,-0.0012791048467326593,0.0038316709059144083,-0.0014779969021267991,0.0011488623408995036,0.08443945481747522,0.0,0.0,2574.0,1761.08,3838.960000000001,321.0,254.0,410.0
full_sample,core,9.85,10.55,2051,2047,True,0.0473103260135534,0.06015943251610699,0.057102760931331265,0.15477755423745304,0.20850281940560098,0.053725265168147934,0.2951799229856077,0.14040236874815465,0.317054251863213,0.16227669762575997,0.3026623804238864,0.14788482618643334,0.16752516819721697,0.012747613959763926,0.2139641206299236,0.05918656639247055,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.014391871439326631,1.0,single_feature_candidate_marginal,5.0,0.11689413712149588,0.053725265168147934,0.012747613959763926,0.022513451209823093,0.013378652170373151,0.07266529657080303,0.14040236874815465,0.040058622374206154,0.0,5033.0,2801.36,9044.48,962.0,588.0,1868.0
full_sample,upper_transition,10.55,10.75,418,418,True,0.037446371980255085,0.10224490067688168,0.10272793729476747,0.15126632416927321,0.16731221615718644,0.01604589198791323,0.17598533340221106,0.02471900923293785,0.17552683031480978,0.02426050614553657,0.17866409951358084,0.027397775344307623,0.1728187533666457,0.02155242919737249,0.17384809131899753,0.02258176714972432,int_log_mstar,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,4.0,-0.0031372691987710533,1.0,single_feature_candidate_marginal,3.0,0.0008363509457510743,0.01604589198791323,0.02155242919737249,0.01968689186939704,-0.0015572332707939895,-0.001401668745469431,0.02471900923293785,0.3133971291866029,0.0,9042.0,3678.68,16346.72,3069.5,2629.16,3642.3599999999997
full_sample,high,10.75,11.2,357,357,True,0.06391902611203579,0.10763973441622905,0.09267428066329189,0.08552392930863746,0.08995372091982512,0.004429791611187658,0.09361469944283192,0.008090770134194458,0.09728702248992491,0.011763093181287446,0.08819266412044913,0.0026687348118116655,0.0856749917989252,0.00015106249028773444,0.08700846183357498,0.0014845325249375207,int_log_rstar,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,3.0,0.00909435836947578,1.0,single_feature_candidate_marginal,4.0,-0.007213610569704862,0.004429791611187658,0.00015106249028773444,-0.0003100501487075802,0.006880076906551583,0.0019164356260342463,0.008090770134194458,0.2969187675070028,0.0,14327.0,6746.6,31388.639999999978,5462.0,4371.92,8119.119999999998
gas_particles_ge_100,low,9.0,9.3,1854,1851,True,0.07427590605324386,0.030338677263068027,0.029661646159317878,0.15265437836308055,0.21581292482728065,0.0631585464642001,0.21763534540951318,0.06498096704643264,0.22647638082478436,0.07382200246170381,0.16124228743955385,0.008587909076473305,0.15319345622920932,0.0005390778661287787,0.21287968073719635,0.0602253023741158,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.06523409338523051,1.0,single_feature_candidate_marginal,3.0,0.0058081173104522765,0.0631585464642001,0.0005390778661287787,0.004676649069273092,-0.00022885457740626225,0.0025907795775633735,0.06498096704643264,0.0,0.0,1201.0,809.0,1808.0,86.0,68.0,111.0
gas_particles_ge_100,pre_edge,9.3,9.55,1278,1275,True,0.05226088995718772,0.026977434647397325,0.02593162967911614,0.18994048112303177,0.26897092761472646,0.07903044649169469,0.28355543955606943,0.09361495843303766,0.293340004483572,0.10339952336054023,0.2218298630381273,0.03188938191509552,0.19902818289571458,0.00908770177268281,0.26901511911853665,0.07907463799550488,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.07151014144544471,1.0,single_feature_candidate_marginal,4.0,0.016208931350881833,0.07903044649169469,0.00908770177268281,0.01881602122948514,0.00017371348378669715,0.006803379363442552,0.09361495843303766,0.0,0.0,1745.0,1176.0,2519.3199999999997,169.0,137.84,207.0
gas_particles_ge_100,onset,9.55,9.85,1290,1289,True,0.052322452028234365,0.030246567748855754,0.030076796192971912,0.2081794837304099,0.26919618631277475,0.06101670258236486,0.2926189385478851,0.08443945481747522,0.29831690853929993,0.09013742480889003,0.2360942875611106,0.02791480383070069,0.20690037888367724,-0.0012791048467326593,0.2686182562971073,0.060438772566697385,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.06222262097818934,1.0,single_feature_candidate_marginal,4.0,0.029685280475894804,0.06101670258236486,-0.0012791048467326593,0.0038316709059144083,-0.0014779969021267991,0.0011488623408995036,0.08443945481747522,0.0,0.0,2574.0,1761.08,3838.960000000001,321.0,254.0,410.0
gas_particles_ge_100,core,9.85,10.55,2051,2047,True,0.0473103260135534,0.06015943251610699,0.057102760931331265,0.15477755423745304,0.20850281940560098,0.053725265168147934,0.2951799229856077,0.14040236874815465,0.317054251863213,0.16227669762575997,0.3026623804238864,0.14788482618643334,0.16752516819721697,0.012747613959763926,0.2139641206299236,0.05918656639247055,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.014391871439326631,1.0,single_feature_candidate_marginal,5.0,0.11689413712149588,0.053725265168147934,0.012747613959763926,0.022513451209823093,0.013378652170373151,0.07266529657080303,0.14040236874815465,0.040058622374206154,0.0,5033.0,2801.36,9044.48,962.0,588.0,1868.0
